matcherUuid,contactfrequencyOption,genderOption,hobbyOption,sameMajorOption,ageOption,mbtiOption,myMajor,,,,
31c1c1ee4a284367859240ffc0955709,NORMAL,MALE,"음악감상,사진, 군대가기, 집가기",TRUE,YOUNGER,ENFJ,데이터사이언스학과,,,,
uuid,age,contactFrequency,gender,hobby,major,mbti,duplication,mbti_weight,contact_weight,hobby_weight,age_weight
31c1c1ee4a284367859240ffc0955709,28,NORMAL,FEMALE,"스키,롤",수학과,ISTP,FALSE,0.2,0.2,0.2,0.4
990b02362c1040bfaa0bc6abf41cb4e8,20,FREQUENT,FEMALE,"배그,롤토체스,축구,야구,골프",심리학과,ISTP,TRUE,0.2,0.2,0.2,0.4
a1202af5f3f04f63a6db6948b5ff7a94,20,NOT_FREQUENT,MALE,"독서,국내 여행,서핑,클라이밍",미디어기술콘텐츠학과,INFJ,TRUE,0.2,0.2,0.2,0.4
449c0cf54efc48ab9cb5fd1dc26e9e5a,20,NOT_FREQUENT,FEMALE,승마,의생명과학과,INFJ,FALSE,0.2,0.2,0.2,0.4
14f417888dc445e18907f36ad9fd85d7,21,NOT_FREQUENT,FEMALE,"요리,뮤지컬,자전거,클라이밍,권투,맛집 탐방,러닝,패션,오버워치",국제학부,ISFP,FALSE,0.2,0.2,0.2,0.4
9494442e50f04beb8752d4fe74aa4cef,25,NORMAL,FEMALE,"태권,야구,국내 여행,해외 여행,웹툰,배드민턴,독서",인공지능학과,ENTP,FALSE,0.2,0.2,0.2,0.4
8ff2ec53ad474d29a3ddade77edff52c,25,FREQUENT,FEMALE,"주짓,캠핑,해외 팝송,스팀게임,뜨개질",회계학과,ENTP,FALSE,0.2,0.2,0.2,0.4
f3c34e07ead54950aca587e4fcbb3231,21,NORMAL,MALE,"방탈출,요가,페스티벌,코딩,검도,인디음악",공간디자인소비자학과,ENTP,TRUE,0.2,0.2,0.2,0.4
54b2bbc4d1cd4685959ed6f9f3c2fbf2,22,NOT_FREQUENT,FEMALE,"펜싱,투자,국내 여행,클라이밍",생명공학과,ENFP,TRUE,0.2,0.2,0.2,0.4
03a143073bd946a3a591d87873d48000,27,NORMAL,MALE,"탁구,댄스,스팀게임,클라이밍",식품영양학과,ESFJ,TRUE,0.2,0.2,0.2,0.4
b90fd0f5b8a84cc9b4fe687d057c6780,25,NORMAL,FEMALE,"롤,축구,러닝,궁도,오버워치,요리,캠핑,티",특수교육과,ENFP,TRUE,0.2,0.2,0.2,0.4
5411580e1c0d402d836f847297e419f0,26,FREQUENT,MALE,"헬스,야구,발라드,피파,수집,킥복,독서,요가,악기 연주,자전거",물리학과,ESFJ,FALSE,0.2,0.2,0.2,0.4
7504085d9892489a8dcc5b8ac87cd4a5,21,FREQUENT,MALE,"해외 팝송,힙합,인디음악,OTT 시청,인라인,코딩,자전거,악기 연주",미디어기술콘텐츠학과,INTJ,FALSE,0.2,0.2,0.2,0.4
585ea87e20e541d4b6bc7fb7b5659d9b,22,NOT_FREQUENT,FEMALE,"악기 연주,오버워치,하키,드라이브,캠핑,보드게임,스팀게임,해외 여행,롤",특수교육과,INTJ,TRUE,0.2,0.2,0.2,0.4
3a416c523d194a65aacf69cde406a9ca,26,NOT_FREQUENT,FEMALE,"요리,역도,티,국내 여행,요가,방탈출",데이터사이언스학과,ESFJ,FALSE,0.2,0.2,0.2,0.4
bb18d2684aaa4b91afb0dbc4d0414672,28,FREQUENT,FEMALE,체조,법학과,ESTP,FALSE,0.2,0.2,0.2,0.4
bc4e01f9685649b28e297c8954c2c53d,25,NOT_FREQUENT,MALE,"맛집 탐방,야구,스팀게임,뮤지컬,방탈출,서예,배그,헬스",생명공학과,ISTP,FALSE,0.2,0.2,0.2,0.4
03d90bd1963b458c9f17867a09173a7a,30,NORMAL,MALE,국악,철학과,INFJ,TRUE,0.2,0.2,0.2,0.4
17b16245d9454959a81dd7b8e21f6509,20,FREQUENT,MALE,"시화,요리",사회학과,INTJ,FALSE,0.2,0.2,0.2,0.4
3b8cb0c2dbf14867b0d3b636755a852a,30,NORMAL,MALE,"힙합,방탈출,공연,악기 연주,드라이브,패션",심리학과,ENFP,FALSE,0.2,0.2,0.2,0.4
922bdd285b084723853753dbf10487d2,22,NOT_FREQUENT,FEMALE,"오버워치,투자,배드민턴,문학,베이킹,요리,자전거",중국언어문화학과,INTP,FALSE,0.2,0.2,0.2,0.4
1639c1da7096415e8c60eb1604ebc010,27,NOT_FREQUENT,FEMALE,"뜨개질,낭독,드라이브,해외 팝송,영화,티,국내 여행,축구,악기 연주",철학과,INFJ,TRUE,0.2,0.2,0.2,0.4
